candidate_id,pr_number,html_url,title,merged_month,change_type,primary_scope,project_scopes,architecture_shape,architectures,cross_component,cross_scope,affected_hardware_scope,affected_platforms,changed_files,churn,verification_test_assets,verification_methods,reproduction_confidence,reproduction_commands,workload_bucket,final_100_bucket_quota,candidate_300_bucket_quota
vllm-cpu-300-013,33934,https://github.com/vllm-project/vllm/pull/33934,[Frontend]Add support for transcriptions and translations to run_batch,2026-02,feature,production_code,production_code;tests,single_component,serving_api,False,True,backend_agnostic,backend_agnostic,3,656,added,end_to_end_test,medium,pytest -v tests/entrypoints/openai/test_run_batch.py,feature | production_code | single_component,9,27
vllm-cpu-300-014,34103,https://github.com/vllm-project/vllm/pull/34103,[Tiny] Rename encoder budget file to more specific name ,2026-02,refactor,production_code,production_code,single_component,input_processing_multimodal,False,False,backend_agnostic,backend_agnostic,5,8,none,unit_test,medium,"python3 -c ""from vllm.multimodal.encoder_budget import MultiModalBudget; import vllm.lora.model_manager; import vllm.v1.core.sched.scheduler; import vllm.v1.engine.input_processor; import vllm.v1.worker.gpu_model_runner"" || pytest -v -s tests/lora/test_lora_manager.py",refactor | production_code | single_component,6,18
vllm-cpu-300-015,33233,https://github.com/vllm-project/vllm/pull/33233,[structured output] validate unsupported json features first,2026-02,bugfix,production_code,production_code,single_component,sampling,False,False,backend_agnostic,backend_agnostic,1,10,none,unit_test,medium,pytest -v -s v1/structured_output,bugfix | production_code | single_component,36,108
vllm-cpu-300-016,34208,https://github.com/vllm-project/vllm/pull/34208,[Bugfix] Add `--trust-remote-code` to dataset bench args,2026-02,bugfix,benchmarks,benchmarks,support_only,support_only,False,False,backend_agnostic,backend_agnostic,2,10,none,end_to_end_test;unit_test,medium,python3 examples/offline_inference/spec_decode.py --trust-remote-code --help || pytest -v -s benchmarks/,bugfix | benchmarks | support_only,1,3
vllm-cpu-300-017,32022,https://github.com/vllm-project/vllm/pull/32022,[Bugfix] Fix memory inconsistency in cross-process shared memory,2026-02,bugfix,production_code,production_code,single_component,distributed_execution,False,False,backend_specific,cpu,1,6,none,integration_test,medium,pytest -v -s distributed/test_shm_broadcast.py,bugfix | production_code | single_component,36,108
vllm-cpu-300-018,34235,https://github.com/vllm-project/vllm/pull/34235,Stop testing for slow tokenizers as they will not exist soon,2026-02,test,tests,tests,support_only,support_only,False,False,backend_agnostic,backend_agnostic,1,5,removed,unit_test,high,pytest -v -s tokenizers_,test | tests | support_only,4,12
vllm-cpu-300-019,34251,https://github.com/vllm-project/vllm/pull/34251,[Redo] Add `--trust-remote-code` to dataset bench args,2026-02,bugfix,benchmarks,benchmarks,support_only,support_only,False,False,backend_agnostic,backend_agnostic,2,10,none,end_to_end_test,medium,python examples/offline_inference/spec_decode.py --trust-remote-code --help,bugfix | benchmarks | support_only,1,3
vllm-cpu-300-020,34116,https://github.com/vllm-project/vllm/pull/34116,[CPU] Enable FP16 (Half dtype) support for s390x,2026-02,feature,production_code,production_code,multi_component,attention;kernels_operators,True,False,backend_specific,cpu,3,253,none,end_to_end_test;manual,medium,"docker run --rm -p 8000:8000 local:test ibm-granite/granite-4.0-micro --port=8000 --dtype=half || curl -X POST http://localhost:8000/v1/completions -H ""Content-Type: application/json"" -d '{""model"": ""ibm-granite/granite-4.0-micro"", ""prompt"": ""Explain what is kubernetes"", ""max_tokens"": 64, ""temperature"": 0.2}' | jq",feature | production_code | multi_component,7,21
vllm-cpu-300-021,33247,https://github.com/vllm-project/vllm/pull/33247,[model] support FunASR model,2026-02,feature,production_code,production_code;tests;documentation_examples,multi_component,model_implementation;input_processing_multimodal,True,True,backend_agnostic,backend_agnostic,7,1588,modified,unit_test,medium,pytest -v -s models/test_terratorch.py models/test_transformers.py models/test_registry.py,feature | production_code | multi_component,7,21
vllm-cpu-300-022,34321,https://github.com/vllm-project/vllm/pull/34321,[Bugfix][CPU] Fix llama4 inference on CPU,2026-02,bugfix,production_code,production_code;developer_tooling,multi_component,moe;kernels_operators;worker_model_runner,True,True,backend_specific,cpu,6,78,none,build_install;kernel_correctness;distributed_test;end_to_end_test,medium,pytest -x -v -s tests/kernels/moe/test_cpu_fused_moe.py || bash .buildkite/scripts/hardware_ci/run-cpu-distributed-smoke-test.sh,bugfix | production_code | multi_component,9,27
vllm-cpu-300-023,34128,https://github.com/vllm-project/vllm/pull/34128,Vllm CPU benchmark suite improvement,2026-02,feature,benchmarks,benchmarks;documentation_examples,support_only,support_only,False,True,backend_specific,cpu,6,1056,none,performance_benchmark;static_check,high,ON_CPU=1 SERVING_JSON=serving-tests-cpu-embed.json bash .buildkite/performance-benchmarks/scripts/run-performance-benchmarks.sh || ON_CPU=1 SERVING_JSON=serving-tests-cpu-embed.json DRY_RUN=1 bash .buildkite/performance-benchmarks/scripts/run-performance-benchmarks.sh || python3 .buildkite/performance-benchmarks/scripts/compare-json-results.py -f results_a/benchmark_results.json -f results_b/benchmark_results.json --excel-out perf_comparison.xlsx,feature | benchmarks | support_only,1,3
vllm-cpu-300-024,34445,https://github.com/vllm-project/vllm/pull/34445,[BugFix] Add block_size validation for mamba cache align mode,2026-02,bugfix,production_code,production_code,single_component,kv_cache_data_movement,False,False,backend_agnostic,backend_agnostic,1,9,none,manual,medium,pytest -v -s config,bugfix | production_code | single_component,36,108
vllm-cpu-300-025,34435,https://github.com/vllm-project/vllm/pull/34435,[Refactor] Simplify BOS/EOS token handling,2026-02,refactor,production_code,production_code;tests,multi_component,sampling;input_processing_multimodal;engine,True,True,backend_agnostic,backend_agnostic,29,246,modified,unit_test;end_to_end_test,high,pytest -v -s -m 'cpu_test' v1/core || pytest -v -s v1/structured_output || pytest -v -s renderers || pytest -v -s tokenizers_ || pytest -v -s tool_parsers,refactor | production_code | multi_component,3,9
vllm-cpu-300-026,34427,https://github.com/vllm-project/vllm/pull/34427,[Bugfix] Delete unused redundant code in Kimi-K2.5,2026-02,refactor,production_code,production_code,single_component,model_implementation,False,False,backend_agnostic,backend_agnostic,1,5,none,static_check;integration_test,high,pre-commit run --all-files --hook-stage manual,refactor | production_code | single_component,6,18
vllm-cpu-300-027,33907,https://github.com/vllm-project/vllm/pull/33907,[Bugfix] Fix Random Dataset Prefix Length Inaccuracy,2026-02,bugfix,benchmarks,benchmarks,support_only,support_only,False,False,backend_agnostic,backend_agnostic,1,39,none,unit_test;performance_benchmark,medium,pytest -v -s benchmarks/,bugfix | benchmarks | support_only,1,3
vllm-cpu-300-028,34468,https://github.com/vllm-project/vllm/pull/34468,[CI][Entrypoints] Validate detokenize token IDs to prevent int64 overflow causing 500,2026-02,bugfix,production_code,production_code,single_component,serving_api,False,False,backend_agnostic,backend_agnostic,1,7,none,integration_test,medium,"python -c ""from vllm.entrypoints.serve.tokenize.protocol import DetokenizeRequest; DetokenizeRequest(tokens=[2**63 - 1])"" && ! python -c ""from vllm.entrypoints.serve.tokenize.protocol import DetokenizeRequest; DetokenizeRequest(tokens=[2**63])""",bugfix | production_code | single_component,36,108
vllm-cpu-300-029,34569,https://github.com/vllm-project/vllm/pull/34569,[CI] Write bake config to temp directory instead of repo root,2026-02,ci,ci,ci,support_only,support_only,False,False,backend_agnostic,backend_agnostic,1,7,none,build_install,high,.buildkite/image_build/image_build.sh $REGISTRY $REPO $BUILDKITE_COMMIT $BRANCH $VLLM_USE_PRECOMPILED $VLLM_MERGE_BASE_COMMIT $IMAGE_TAG,ci | ci | support_only,5,15
vllm-cpu-300-030,34864,https://github.com/vllm-project/vllm/pull/34864,Deprecate test-pipeline.yaml,2026-02,ci,ci,ci,support_only,support_only,False,False,backend_agnostic,backend_agnostic,1,1528,none,static_check,medium,buildkite/ci/pr/bootstrap,ci | ci | support_only,5,15
vllm-cpu-300-031,34944,https://github.com/vllm-project/vllm/pull/34944,[V0 Deprecation] Remove unused MM placeholders in request output,2026-02,maintenance,production_code,production_code,single_component,serving_api,False,False,backend_agnostic,backend_agnostic,1,6,none,unit_test,high,pytest -v -s test_outputs.py,maintenance | production_code | single_component,2,6
vllm-cpu-300-032,33304,https://github.com/vllm-project/vllm/pull/33304,[feat] Add per-block extra_keys to KV events,2026-02,feature,production_code,production_code;tests;documentation_examples,single_component,kv_cache_data_movement,False,True,backend_agnostic,backend_agnostic,6,121,modified,unit_test,high,pytest -v -s -m 'cpu_test' v1/core,feature | production_code | single_component,9,27
vllm-cpu-300-033,35068,https://github.com/vllm-project/vllm/pull/35068,[Refactor] Remove dead private func `_fp8_perm` and `_extract_mask_for_item`,2026-02,refactor,production_code,production_code,multi_component,moe;model_implementation,True,False,backend_agnostic,backend_agnostic,2,46,none,unit_test;kernel_correctness,medium,pip install git+https://github.com/TIGER-AI-Lab/Mantis.git || pytest -v -s models/multimodal/processing --ignore models/multimodal/processing/test_tensor_schema.py,refactor | production_code | multi_component,3,9
vllm-cpu-300-034,35117,https://github.com/vllm-project/vllm/pull/35117,[compile] Save aot compile artifacts atomically.,2026-02,bugfix,production_code,production_code,single_component,compilation,False,False,backend_agnostic,backend_agnostic,1,6,none,unit_test,medium,pytest -s -v tests/compile/test_aot_compile.py,bugfix | production_code | single_component,36,108
vllm-cpu-300-035,34434,https://github.com/vllm-project/vllm/pull/34434,[CPU][Perf] Accelerate Attention head for s390x using vector intrinsics,2026-02,performance,production_code,production_code,multi_component,attention;kv_cache_data_movement;kernels_operators,True,False,backend_specific,cpu,6,432,none,performance_benchmark,medium,vllm bench throughput --num-prompts 32 --input-len 512 --output-len 1 --max-model-len 1024 --model Qwen/Qwen2-0.5B-Instruct --load-format dummy,performance | production_code | multi_component,2,6
vllm-cpu-300-036,35220,https://github.com/vllm-project/vllm/pull/35220,[Benchmarks] Plot benchmark timeline and requests statistics,2026-02,feature,benchmarks,benchmarks;build,support_only,support_only,False,True,backend_agnostic,backend_agnostic,3,484,none,performance_benchmark;manual,medium,vllm bench serve --backend openai --model llama-194m --dataset-name sharegpt --dataset-path ShareGPT_V3_unfiltered_cleaned_split.json --num-prompts 100 --request-rate 10 --plot-timeline --timeline-itl-thresholds 2 5 --plot-dataset-stats,feature | benchmarks | support_only,1,3
vllm-cpu-300-037,35297,https://github.com/vllm-project/vllm/pull/35297,[Model] Add nvidia/llama-nemotron-embed-vl-1b-v2 multimodal embedding model,2026-02,feature,production_code,production_code;tests;documentation_examples,multi_component,model_implementation;input_processing_multimodal,True,True,backend_agnostic,backend_agnostic,8,576,mixed,integration_test,medium,pytest tests/models/multimodal/pooling/test_llama_nemotron_vl_embed.py tests/models/multimodal/processing/test_nemotron_vl.py || tests/models/test_initialization.py::test_can_initialize_large_subset,feature | production_code | multi_component,7,21
vllm-cpu-300-038,35318,https://github.com/vllm-project/vllm/pull/35318,[Refactor] Remove dead or duplicate func utils or variables,2026-02,refactor,production_code,production_code;benchmarks,multi_component,quantization;model_implementation;engine,True,True,backend_agnostic,backend_agnostic,9,199,none,static_check;unit_test;end_to_end_test;kernel_correctness;performance_benchmark,medium,pre-commit run --all-files --hook-stage manual || pytest -v -s -m 'cpu_test' v1/core || pytest -v -s models/test_utils.py models/test_vision.py,refactor | production_code | multi_component,3,9
vllm-cpu-300-039,35354,https://github.com/vllm-project/vllm/pull/35354,[Bugfix] Remove erroneous lower bound on LoRA vocab size constraint,2026-02,bugfix,production_code,production_code;tests,single_component,lora,False,True,backend_agnostic,backend_agnostic,2,10,modified,unit_test,medium,pytest -v -s tests/lora/test_layers.py::test_lm_head_logits_processor_invalid_vocab_size,bugfix | production_code | single_component,36,108
vllm-cpu-300-040,35184,https://github.com/vllm-project/vllm/pull/35184,[Bugfix] Emit reasoning_part events in simple streaming path for Resp…,2026-02,bugfix,production_code,production_code;tests,single_component,serving_api,False,True,backend_agnostic,backend_agnostic,2,100,added,end_to_end_test;manual,medium,pytest -v -s entrypoints/openai/responses,bugfix | production_code | single_component,36,108
vllm-cpu-300-041,33671,https://github.com/vllm-project/vllm/pull/33671,[Feature]Supports Anthropic Thinking Block,2026-02,feature,production_code,production_code,single_component,serving_api,False,False,backend_agnostic,backend_agnostic,2,333,none,end_to_end_test;manual,medium,export VLLM_WORKER_MULTIPROC_METHOD=spawn || pytest -v -s entrypoints/openai,feature | production_code | single_component,9,27
vllm-cpu-300-042,35280,https://github.com/vllm-project/vllm/pull/35280,custom dataset img support base64,2026-02,feature,benchmarks,benchmarks,support_only,support_only,False,False,backend_agnostic,backend_agnostic,1,14,none,unknown,medium,pytest -v -s benchmarks/,feature | benchmarks | support_only,1,3
vllm-cpu-300-043,35658,https://github.com/vllm-project/vllm/pull/35658,[ROCm] add amd-quark package in requirements for rocm to use quantized models,2026-03,build,tests,build;tests,support_only,support_only,False,True,backend_specific,amd_rocm,2,30,modified,build_install,medium,"docker build --build-arg max_jobs=16 --build-arg REMOTE_VLLM=1 --build-arg ARG_PYTORCH_ROCM_ARCH='gfx942;gfx950' --build-arg VLLM_BRANCH=$BUILDKITE_COMMIT --tag ""rocm/vllm-ci:${BUILDKITE_COMMIT}"" -f docker/Dockerfile.rocm --target test --no-cache --progress plain .",build | tests | support_only,1,3
vllm-cpu-300-044,35552,https://github.com/vllm-project/vllm/pull/35552,clean unused cudagraph_batch_sizes,2026-03,maintenance,production_code,production_code,single_component,worker_model_runner,False,False,backend_agnostic,backend_agnostic,1,13,none,unit_test,high,"! git grep -n ""cudagraph_batch_sizes"" c42dc402c14817c1c329aa5488d78eb204d4b4c1",maintenance | production_code | single_component,2,6
vllm-cpu-300-045,35824,https://github.com/vllm-project/vllm/pull/35824,[CI/Build] Trigger processor tests on registry update,2026-03,ci,ci,ci,support_only,support_only,False,False,cross_backend,cpu;amd_rocm,2,13,none,integration_test,medium,pip install git+https://github.com/TIGER-AI-Lab/Mantis.git || pytest -v -s models/multimodal/processing --ignore models/multimodal/processing/test_tensor_schema.py,ci | ci | support_only,5,15
vllm-cpu-300-046,35683,https://github.com/vllm-project/vllm/pull/35683,[MISC] Removed unused function find_all_indices() from tool_parsers/utils.py,2026-03,maintenance,production_code,production_code,single_component,other,False,False,backend_agnostic,backend_agnostic,1,15,none,unit_test,high,pytest -v -s tool_parsers,maintenance | production_code | single_component,2,6
vllm-cpu-300-047,35198,https://github.com/vllm-project/vllm/pull/35198,[ROCm] [Release] Change the package from `aiter` to `amd-aiter`,2026-03,build,build,build;ci,support_only,support_only,False,True,backend_specific,amd_rocm,2,6,none,build_install,medium,"docker build --build-arg max_jobs=16 --build-arg REMOTE_VLLM=1 --build-arg ARG_PYTORCH_ROCM_ARCH='gfx942;gfx950' --build-arg VLLM_BRANCH=$BUILDKITE_COMMIT --tag ""rocm/vllm-ci:${BUILDKITE_COMMIT}"" -f docker/Dockerfile.rocm --target test --no-cache --progress plain . || bash .buildkite/scripts/annotate-rocm-release.sh",build | build | support_only,5,15
vllm-cpu-300-048,34715,https://github.com/vllm-project/vllm/pull/34715,fix: Ensure invalid audio files return 400 error,2026-03,bugfix,production_code,production_code;tests,multi_component,serving_api;input_processing_multimodal,True,True,backend_agnostic,backend_agnostic,2,38,added,end_to_end_test,medium,export VLLM_WORKER_MULTIPROC_METHOD=spawn || pytest -v -s entrypoints/openai --ignore=entrypoints/openai/test_chat_with_tool_reasoning.py --ignore=entrypoints/openai/test_oot_registration.py --ignore=entrypoints/openai/test_tensorizer_entrypoint.py --ignore=entrypoints/openai/correctness/ --ignore=entrypoints/openai/tool_parsers/ --ignore=entrypoints/openai/responses,bugfix | production_code | multi_component,9,27
vllm-cpu-300-049,33753,https://github.com/vllm-project/vllm/pull/33753,[PluggableLayer][MM] Add PluggableLayer for RelPosAttention,2026-03,feature,production_code,production_code;documentation_examples,multi_component,attention;model_implementation,True,True,backend_agnostic,backend_agnostic,2,9,none,integration_test;end_to_end_test;manual,medium,python examples/offline_inference/vision_language.py -m deepseek_ocr,feature | production_code | multi_component,7,21
vllm-cpu-300-050,36044,https://github.com/vllm-project/vllm/pull/36044,[compile] Reduce log spam from compile.,2026-03,bugfix,production_code,production_code,single_component,compilation,False,False,backend_agnostic,backend_agnostic,1,7,none,unit_test,high,find compile/ -maxdepth 1 -name 'test_*.py' -print0 | xargs -0 -n1 -I{} pytest -s -v '{}',bugfix | production_code | single_component,36,108
vllm-cpu-300-051,36006,https://github.com/vllm-project/vllm/pull/36006,[Misc] Remove deprecated items that are due for removal,2026-03,maintenance,production_code,production_code,multi_component,configuration_shared_infrastructure;compilation;input_processing_multimodal,True,False,backend_agnostic,backend_agnostic,3,51,none,unit_test,medium,pytest -v -s config || pytest -v -s models/multimodal/processing --ignore models/multimodal/processing/test_tensor_schema.py || find compile/ -maxdepth 1 -name 'test_*.py' -print0 | xargs -0 -n1 -I{} pytest -s -v '{}',maintenance | production_code | multi_component,1,3
vllm-cpu-300-052,36032,https://github.com/vllm-project/vllm/pull/36032,qwen3coder tool parser fix anyOf double encoded parameters,2026-03,bugfix,production_code,production_code,single_component,serving_api,False,False,backend_agnostic,backend_agnostic,1,6,none,unit_test,high,pytest -v -s tool_parsers,bugfix | production_code | single_component,36,108
vllm-cpu-300-053,34616,https://github.com/vllm-project/vllm/pull/34616,[KVConnector] Scheduler: Fix num_computed_tokens after async KV load,2026-03,bugfix,production_code,production_code;tests,multi_component,scheduler;kv_cache_data_movement,True,True,backend_agnostic,backend_agnostic,5,54,modified,unit_test,high,pytest -v -s -m 'cpu_test' v1/kv_connector/unit || pytest -v -s -m 'not cpu_test' v1/kv_connector/unit,bugfix | production_code | multi_component,9,27
vllm-cpu-300-054,36088,https://github.com/vllm-project/vllm/pull/36088,Don't fire ray compatibility webhook when PR or branch is not provided,2026-03,ci,ci,ci,support_only,support_only,False,False,backend_agnostic,backend_agnostic,1,26,none,integration_test,medium,bash /vllm-workspace/.buildkite/scripts/check-ray-compatibility.sh,ci | ci | support_only,5,15
vllm-cpu-300-055,36153,https://github.com/vllm-project/vllm/pull/36153,[Frontend] Add Support for MM Encoder/Decoder Beam Search (Offline),2026-03,feature,production_code,production_code;tests,multi_component,serving_api;sampling;input_processing_multimodal,True,True,backend_specific,amd_rocm,5,222,mixed,end_to_end_test,medium,pytest -v -s tests/models/multimodal/generation/test_whisper.py::test_beam_search_encoder_decoder,feature | production_code | multi_component,7,21
vllm-cpu-300-056,36430,https://github.com/vllm-project/vllm/pull/36430,[Bugfix] Avoid to replace non-tensor members in cpu model runner,2026-03,bugfix,production_code,production_code,single_component,worker_model_runner,False,False,backend_specific,cpu,1,6,none,end_to_end_test,medium,"bash .buildkite/scripts/hardware_ci/run-cpu-test.sh 10m ""bash .buildkite/scripts/hardware_ci/run-cpu-distributed-smoke-test.sh""",bugfix | production_code | single_component,36,108
vllm-cpu-300-057,36169,https://github.com/vllm-project/vllm/pull/36169,"feat(grpc): extract gRPC servicer into smg-grpc-servicer package, add --grpc flag to vllm serve",2026-03,feature,production_code,production_code;tests;build,single_component,serving_api,False,True,backend_specific,amd_rocm,13,1299,removed,build_install;unit_test;integration_test;manual,medium,pip install vllm[grpc] || vllm serve <model> --grpc --port 8001 || vllm serve <model>,feature | production_code | single_component,9,27
vllm-cpu-300-058,36218,https://github.com/vllm-project/vllm/pull/36218,[UX] Infer dtype for local checkpoint,2026-03,bugfix,production_code,production_code,single_component,model_implementation,False,False,backend_agnostic,backend_agnostic,2,16,none,integration_test,medium,pytest -v -s config,bugfix | production_code | single_component,36,108
vllm-cpu-300-059,36672,https://github.com/vllm-project/vllm/pull/36672,Remove unused config field from Gemma2,2026-03,bugfix,production_code,production_code,single_component,model_implementation,False,False,backend_agnostic,backend_agnostic,1,7,none,model_correctness;end_to_end_test,medium,pytest -x -v -s tests/models/language/generation -m cpu_model,bugfix | production_code | single_component,36,108
vllm-cpu-300-060,36667,https://github.com/vllm-project/vllm/pull/36667,[Refactor] Remove Molmo2 processor wrapper,2026-03,refactor,production_code,production_code,single_component,input_processing_multimodal,False,False,backend_agnostic,backend_agnostic,1,659,none,integration_test,medium,pip install git+https://github.com/TIGER-AI-Lab/Mantis.git || pytest -v -s models/multimodal/processing --ignore models/multimodal/processing/test_tensor_schema.py,refactor | production_code | single_component,6,18
vllm-cpu-300-061,36424,https://github.com/vllm-project/vllm/pull/36424,[Refactor] Remove dead code in KV connector,2026-03,refactor,production_code,production_code,multi_component,kv_cache_data_movement;scheduler;engine,True,False,backend_agnostic,backend_agnostic,3,20,none,static_check;unit_test;end_to_end_test;model_correctness;distributed_test,high,pre-commit run --all-files --hook-stage manual,refactor | production_code | multi_component,3,9
vllm-cpu-300-062,36536,https://github.com/vllm-project/vllm/pull/36536,[Frontend] Split `OpenAIServingModels` into `OpenAIModelRegistry` + `OpenAIServingModels`,2026-03,refactor,production_code,production_code,single_component,serving_api,False,False,backend_agnostic,backend_agnostic,4,135,none,end_to_end_test,high,tests/entrypoints/openai/test_launch_render.py,refactor | production_code | single_component,6,18
vllm-cpu-300-063,36385,https://github.com/vllm-project/vllm/pull/36385,[Model] Add support for BERT-like Chinese ERNIE pooling models,2026-03,feature,production_code,production_code;tests;benchmarks;documentation_examples,multi_component,model_implementation;model_loading_layers,True,True,backend_agnostic,backend_agnostic,7,320,mixed,model_correctness,medium,pytest -v -s models/language/pooling -m 'not core_model' || pytest -v -s models/language/pooling_mteb_test || bash .buildkite/scripts/hardware_ci/run-cpu-test.sh,feature | production_code | multi_component,7,21
vllm-cpu-300-064,36959,https://github.com/vllm-project/vllm/pull/36959,[Bugfix] fix paddleocr crash on some image shape,2026-03,bugfix,production_code,production_code,single_component,input_processing_multimodal,False,False,backend_agnostic,backend_agnostic,1,7,none,integration_test,high,pip install git+https://github.com/TIGER-AI-Lab/Mantis.git || pytest -v -s models/multimodal/processing --ignore models/multimodal/processing/test_tensor_schema.py,bugfix | production_code | single_component,36,108
vllm-cpu-300-065,31545,https://github.com/vllm-project/vllm/pull/31545,Use Transformers v5 `WeightRenaming` for Transformers modeling backend,2026-03,feature,production_code,production_code;tests,multi_component,model_loading_layers;quantization,True,True,backend_agnostic,backend_agnostic,7,253,modified,model_correctness,medium,pip install --upgrade git+https://github.com/huggingface/transformers || pytest -v -s tests/models/multimodal/test_mapping.py,feature | production_code | multi_component,7,21
vllm-cpu-300-066,36937,https://github.com/vllm-project/vllm/pull/36937,fix: resolve chat template names before kwargs detection,2026-03,bugfix,production_code,production_code;tests,single_component,input_processing_multimodal,False,True,backend_agnostic,backend_agnostic,2,60,added,unit_test,medium,pytest -v -s renderers,bugfix | production_code | single_component,36,108
vllm-cpu-300-067,37062,https://github.com/vllm-project/vllm/pull/37062,[Frontend] Reduce chat template warmup logging levels,2026-03,bugfix,production_code,production_code,single_component,input_processing_multimodal,False,False,backend_agnostic,backend_agnostic,1,15,none,unit_test,high,pytest -v -s renderers,bugfix | production_code | single_component,36,108
vllm-cpu-300-068,36675,https://github.com/vllm-project/vllm/pull/36675,[Misc] Sync pre-commit to 4.5.1 in workflows and docs,2026-03,build,build,build;ci;documentation_examples;developer_tooling,support_only,support_only,False,True,backend_agnostic,backend_agnostic,3,6,none,static_check,medium,pre-commit run --all-files --hook-stage manual,build | build | support_only,5,15
