archetype,n,median_churn,median_files,median_human_reviews,denominator,share,examples
refactor / production_code / single:kv_cache_data_movement / backend_specific,11,185.0,8.0,8.0,5649,0.0019472473004071517,"#37109 [kv_offload+HMA][5/N]: Track group block hashes and block IDs; #37874 [KV Offload] Refactor CPU offloading: pluggable CachePolicy, remove Backend abstraction, restructure into `cpu/` package; #40538 [Refactor][kv_offload] KV Offloading maintainability improvements"
refactor / production_code / single:model_implementation / backend_agnostic,11,188.0,2.0,2.0,5649,0.0019472473004071517,#34427 [Bugfix] Delete unused redundant code in Kimi-K2.5; #35866 Order `config.py` in Lexicographical order; #37183 Remove unused EVS functions in qwen3_vl.py
bugfix / production_code / single:quantization / backend_agnostic,10,35.0,1.5,2.0,5649,0.0017702248185519562,#37291 [Bugfix] Handle ParallelLMHead in compressed-tensors get_quant_method; #43540 [Quantization] Fix Humming RoutedExperts import; #45312 [Bugfix][Quantization] Reject unsupported compressed tensors KV cache schemes
refactor / production_code / single:model_loading_layers / backend_agnostic,10,104.5,1.0,2.0,5649,0.0017702248185519562,#37371 standardize load_weights using AutoWeightsLoader for kimi_linear and minimax_text_01; #38955 Refactor Arctic loading to use AutoWeightsLoader; #39092 [Model] Use AutoWeightsLoader for FalconH1
ci / tests / support_only / backend_agnostic,9,16.0,2.0,2.0,5649,0.0015932023366967605,#33982 Consolidate and fix forbidden import `pre-commit` checks; #37657 [CI][PD] Add Hybrid SSM integration tests to CI; #39347 [CI Bug] Fix pre-commit issue in main
maintenance / production_code / single:reliability_observability / backend_agnostic,9,10.0,1.0,1.0,5649,0.0015932023366967605,#33536 [Misc] Remove deprecated profiler environment variables; #35575 [Misc] Change logging level from info to debug for tool parser import; #35678 [UX] Remove NoOpOffloader log
feature / production_code / single:other / backend_agnostic,9,518.0,6.0,4.0,5649,0.0015932023366967605,#30156 feat: add TxtSlicesDataset to allow sampling slices from txt file for benchmarking; #34026 add --insecure arg to the vllm bench to skip TLS; #35306 [Benchmark] Simplify SLA scan
performance / production_code / single:compilation / backend_specific,9,24.0,2.0,5.0,5649,0.0015932023366967605,#28672 [torch.compile] Sequence Parallelism threshold compile ranges; #31785 [Fix] Use torch.empty for output in attention+quant fusion; #34299 [torch.compile] Enable AR+rms fusion by default available for `-O2`
ci / tests / support_only / cross_backend,9,101.0,6.0,3.0,5649,0.0015932023366967605,#34514 [CI][BugFix] ShellCheck cleanup to remove baseline and preserve runtime behavior; #34699 [CI/Build] Remove use of `skip_v1`; #34750 [Rocm][CI] Fix LM Eval Large Models (H100) test group
bugfix / production_code / single:configuration_shared_infrastructure / backend_agnostic,9,10.0,1.0,2.0,5649,0.0015932023366967605,#33998 [Revert] Add util `handle_deprecated` back; #35530 [Misc] Fix stale doc URL and docstring module path; #36191 [BugFix] avoid infinite loop with VLLM_PORT and get_open_ports_list
refactor / production_code / single:worker_model_runner / backend_agnostic,9,29.0,2.0,2.0,5649,0.0015932023366967605,#34222 [Model Runner V2] Use pinned memory for write_contents; #35039 [Model Runner V2][Minor] Remove redundant `do_spec_decode` field; #35628 [Model Runner V2] Minor refactoring for EncoderRunner
performance / build / support_only / backend_specific,8,42.5,1.0,2.0,5649,0.0014161798548415648,"#31112 [XPU]Replace pip in docker.xpu with uv pip; #36265 pick up tuned prefill configs for FP8 FA3; #36949 [ROCm][CI] Optimize ROCm Docker build: registry cache, DeepEP, and ci-bake script"
performance / production_code / single:attention / backend_agnostic,8,24.5,1.0,2.0,5649,0.0014161798548415648,#34498 [GDN] Use CPU tensors to build GDN metadata; #34870 [perf] Avoid dtype promotion sync in mamba_get_block_table_tensor; #42460 [Perf] Optimize MLA `compute_prefill_context` memory allocation
feature / production_code / single:model_loading_layers / backend_agnostic,7,46.0,2.0,2.0,5649,0.0012391573729863693,#33465 [PluggableLayer][3/N] Apply PluggableLayer to llm_head and vocab embedding layer; #35981 [Misc] Support OOT linear method registering; #39435 feat: add logit_scale to PoolerConfig for affine score calibration
build / production_code / multi_component / cross_backend,7,451.0,23.0,11.0,5649,0.0012391573729863693,#30525 [Release 2.10] Update to Torch 2.10 - final release; #34644 [release 2.11] Update to torch 2.11; #41359 Bump Transformers version to 5.10.4
performance / production_code / single:model_loading_layers / backend_agnostic,7,74.0,1.0,3.0,5649,0.0012391573729863693,#35098 Use Xet high performance mode for Transformers v5; #36012 [Performance] Add prefetch for checkpoints to OS page cache; #37673 [Performance] Auto-enable prefetch on NFS with RAM guard
bugfix / documentation_examples / support_only / backend_agnostic,7,2.0,1.0,2.0,5649,0.0012391573729863693,#32922 [Bugfix] Fix 'remove_instance_endpoint' method logic in disagg_proxy_demo; #35788 [BUG] Fix rlhf_async example; #41088 [Bugfix] Fix broken example opeanai client
performance / production_code / single:serving_api / backend_agnostic,7,56.0,3.0,2.0,5649,0.0012391573729863693,"#33548 use ORJSONResponse when available to improve the efficiency of request process; #33782 [Perf] Optimize chat completion streaming performance; #35330 [Perf] Optimize maxsim scores computation for pooling models, 13.9% E2E throughput improvement"
feature / production_code / single:device_platform / backend_specific,7,10.0,1.0,2.0,5649,0.0012391573729863693,#37694 Add get_device_uuid for rocm; #40015 [ROCm] Implement GPU-to-NUMA-node detection; #41354 [XPU] Use custom op collective behavior
feature / production_code / single:worker_model_runner / backend_agnostic,7,81.0,4.0,2.0,5649,0.0012391573729863693,"#42667 [Model Runner v2] Migration from v1 to v2, with Qwen and DSv2 MOE models [3/N]; #44074 [Core] Pluggable sleep-mode backend abstraction (RFC #34303); #44446 [Model Runner V2] Migration to support quantized model by default [5/N]"
feature / production_code / single:attention / backend_agnostic,6,78.5,2.0,4.5,5649,0.0010621348911311736,#33695 enable skipping of SW attention layers when using FP8 KV cache; #35054 [Mamba1] - Change supports_update_block_table to True; #37692 [FlexAttention] allow custom mask mod
refactor / production_code / single:sampling / backend_agnostic,6,44.0,2.0,1.5,5649,0.0010621348911311736,#34362 [Refactor] Move validation to params definitions; #34563 [Model Runner V2] Minor cleanup for Sampler; #34669 [Model Runner V2] Minor simplification for BadWordsState
